,site,x_cart,y_cart,theta_polr,r_polr,dist_center,keep_this_site,mm_site
0,1,-4.2625994694960205,-14.02403846153846,1.2757200886255287,14.657537617487385,14.847248873158438,True,169
1,2,-3.2625994694960205,-14.02403846153846,1.3422188383049607,14.398548887615924,14.915961675648262,True,198
2,3,-2.2625994694960205,-14.02403846153846,1.4108374893170146,14.205386694140843,14.970344613174044,True,227
3,4,-1.2625994694960205,-14.02403846153846,1.4810073124535648,14.08076035557319,15.006958525736287,True,256
4,5,-0.26259946949602053,-14.02403846153846,1.5520735612052594,14.026496827507914,15.023292690977401,True,285
5,6,0.7374005305039795,-14.02403846153846,-1.5182635222082623,14.043411776099767,15.018174978775459,True,315
6,7,1.7374005305039795,-14.02403846153846,-1.4475370444157152,14.131249604125799,14.991976127838946,True,345
7,8,2.7374005305039795,-14.02403846153846,-1.3780266870693851,14.288702405576004,14.946544272210023,True,374
8,9,3.7374005305039795,-14.02403846153846,-1.3103499239534189,14.513504659320622,14.884890531561368,True,403
9,10,4.7374005305039795,-14.02403846153846,-1.2450260316932407,14.802588238451051,14.810721012161995,True,432
10,11,-6.2625994694960205,-13.02403846153846,1.122586336246709,14.451495769053283,14.639700062793091,True,115
11,12,-5.2625994694960205,-13.02403846153846,1.1867878283111415,14.04708265171003,14.733999074890356,True,142
12,13,-4.2625994694960205,-13.02403846153846,1.254497238125199,13.703843697480675,14.822296666479007,True,170
13,14,-3.2625994694960205,-13.02403846153846,1.325341507452895,13.426471358699903,14.899946016652347,True,199
14,15,-2.2625994694960205,-13.02403846153846,1.398788161162349,13.219112459125112,14.962084896477704,True,228
15,16,-1.2625994694960205,-13.02403846153846,1.474154545166999,13.085095921238205,15.00426568317688,True,257
16,17,-0.26259946949602053,-13.02403846153846,1.5506363822594476,13.026685546562206,15.02317383082635,True,286
17,18,0.7374005305039795,-13.02403846153846,-1.5142382863366664,13.044896986562241,15.017243622049383,True,316
18,19,1.7374005305039795,-13.02403846153846,-1.4381797606265059,13.139411647826115,14.986971512310465,True,346
19,20,2.7374005305039795,-13.02403846153846,-1.3636311439625972,13.30860396555689,14.934815252953188,True,375
20,21,3.7374005305039795,-13.02403846153846,-1.2913437561891448,13.54967677005782,14.864715475789751,True,404
21,22,4.7374005305039795,-13.02403846153846,-1.2219312993476013,13.858879523036936,14.781404591072466,True,433
22,23,5.7374005305039795,-13.02403846153846,-1.1558505925569509,14.231772296346666,14.689710263219954,True,461
23,24,-7.2625994694960205,-12.02403846153846,1.0274359502274428,14.047165264881027,14.485633519710538,True,90
24,25,-6.2625994694960205,-12.02403846153846,1.0906161003813977,13.557199306637342,14.589573504713881,True,116
25,26,-5.2625994694960205,-12.02403846153846,1.1582405144960095,13.125260153646325,14.693211227028543,True,143
26,27,-4.2625994694960205,-12.02403846153846,1.2301124866162627,12.757243243032717,14.791962995099563,True,171
27,28,-3.2625994694960205,-12.02403846153846,1.3058362047686336,12.458814398766517,14.88020800462601,True,200
28,29,-2.2625994694960205,-12.02403846153846,1.3847983063069251,12.235066705331846,14.951793156630925,True,229
29,30,-1.2625994694960205,-12.02403846153846,1.466173464223191,12.090147159771373,15.000885234813152,True,258
30,31,-0.26259946949602053,-12.02403846153846,1.5489602579912838,12.026905645507316,15.023024119983495,True,287
31,32,0.7374005305039795,-12.02403846153846,-1.5095458448621313,12.04662859338428,15.016071758537816,True,317
32,33,1.7374005305039795,-12.02403846153846,-1.4272955930124984,12.148911948316677,14.980708182650265,True,347
33,34,2.7374005305039795,-12.02403846153846,-1.3469508776566324,12.331701528538535,14.920270942874966,True,376
34,35,3.7374005305039795,-12.02403846153846,-1.2694359815809617,12.591491716630227,14.840005317273118,True,405
35,36,4.7374005305039795,-12.02403846153846,-1.1954781250580204,12.923639762504044,14.746020956139322,True,434
36,37,5.7374005305039795,-12.02403846153846,-1.1255863998010005,13.322734920878052,14.644304530145414,True,462
37,38,6.7374005305039795,-12.02403846153846,-1.0600586539722552,13.782962919234437,14.540025077971903,True,488
38,39,7.7374005305039795,-12.02403846153846,-0.999008118511465,14.29842186725512,14.437197516981435,True,513
39,40,-8.26259946949602,-11.02403846153846,0.9276104947126732,13.776791135630793,14.312572176070436,True,67
40,41,-7.2625994694960205,-11.02403846153846,0.9882620132965193,13.201317171244812,14.418677681272774,True,91
41,42,-6.2625994694960205,-11.02403846153846,1.0541737928236845,12.678705616773783,14.53031943704215,True,117
42,43,-5.2625994694960205,-11.02403846153846,1.1254120537728634,12.215743005557176,14.64403743579461,True,144
43,44,-4.2625994694960205,-11.02403846153846,1.2018390481931926,11.819440690609138,14.75469823297277,True,172
44,45,-3.2625994694960205,-11.02403846153846,1.283056314693527,11.496694277044814,14.855547756717385,True,201
45,46,-2.2625994694960205,-11.02403846153846,1.3683651729177555,11.253834029380517,14.93875740092611,True,230
46,47,-1.2625994694960205,-11.02403846153846,1.4567617266934336,11.096106588432308,14.996562957009223,True,259
47,48,-0.26259946949602053,-11.02403846153846,1.5469802072242762,11.0271656595364,15.022831882180045,True,288
48,49,0.7374005305039795,-11.02403846153846,-1.5040055865857078,11.048673383889435,15.014569023744757,True,318
49,50,1.7374005305039795,-11.02403846153846,-1.4144809621772017,11.160106836624584,14.972730781971329,True,348
50,51,2.7374005305039795,-11.02403846153846,-1.3274070428606803,11.358819730318936,14.901959722649684,True,377
51,52,3.7374005305039795,-11.02403846153846,-1.2439340102252177,11.640343067405302,14.80936932080508,True,406
52,53,4.7374005305039795,-11.02403846153846,-1.1649230583691952,11.998849436004214,14.702931404999978,True,435
53,54,5.7374005305039795,-11.02403846153846,-1.0909271840120827,12.427678337038925,14.590070115169132,True,463
54,55,6.7374005305039795,-11.02403846153846,-1.0222146856270182,12.919829329751789,14.476803594118829,True,489
55,56,7.7374005305039795,-11.02403846153846,-0.9588189437417138,13.468362594277098,14.36745459738462,True,514
56,57,8.73740053050398,-11.02403846153846,-0.900597954940798,14.0666837609982,14.264761662188572,True,538
57,58,-9.26259946949602,-10.02403846153846,0.8248578012514869,13.648336748875677,14.130512059203411,True,46
58,59,-8.26259946949602,-10.02403846153846,0.8814257338132363,12.990454074885845,14.23074352183716,True,68
59,60,-7.2625994694960205,-10.02403846153846,0.9438039355100909,12.378477213806478,14.341110742771633,True,92
60,61,-6.2625994694960205,-10.02403846153846,1.012370963278304,11.819538873988874,14.460072687230106,True,118
61,62,-5.2625994694960205,-10.02403846153846,1.0873509458555677,11.321497262056027,14.584351113746905,True,145
